bench,layer,T_ref,loop,defected,virtual,serial,disable,redundant
blackscholes,0,312.62,100,0.5,10.375,1.875,0.0,0.5
blackscholes,1,312.62,100,0.5,10.0625,1.375,0.0,0.5
blackscholes,2,312.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,3,312.62,100,0.25,0.0,0.0,0.0,0.25
canneal,0,313.98,100,0.5,10.75,1.375,0.0,0.5
canneal,1,313.98,100,0.453125,5.375,1.1875,0.0,0.5
canneal,2,313.98,100,0.25,0.0,0.0,0.0,0.25
canneal,3,313.98,100,0.25,0.0,0.0,0.0,0.25
dedup,0,312.93,100,0.5,10.5625,1.4375,0.0,0.5
dedup,1,312.93,100,0.5,10.75,1.625,0.0,0.5
dedup,2,312.93,100,0.25,0.0,0.0,0.0,0.25
dedup,3,312.93,100,0.25,0.0,0.0,0.0,0.25
facesim,0,313.12,100,0.5,10.9375,1.25,0.0,0.5
facesim,1,313.12,100,0.5,10.125,1.25,0.0,0.5
facesim,2,313.12,100,0.25,0.0,0.0,0.0,0.25
facesim,3,313.12,100,0.25,0.0,0.0,0.0,0.25
ferret,0,312.78,100,0.5,9.5625,1.9375,0.0,0.5
ferret,1,312.78,100,0.5,10.0,1.125,0.0,0.5
ferret,2,312.78,100,0.25,0.0,0.0,0.0,0.25
ferret,3,312.78,100,0.25,0.0,0.0,0.0,0.25
fluidanimate,0,312.63,100,0.5,9.9375,1.5625,0.0,0.5
fluidanimate,1,312.63,100,0.5,10.5,1.8125,0.0,0.5
fluidanimate,2,312.63,100,0.25,0.0,0.0,0.0,0.25
fluidanimate,3,312.63,100,0.25,0.0,0.0,0.0,0.25
swaptions,0,312.52,100,0.5,9.6875,1.0625,0.0,0.5
swaptions,1,312.52,100,0.5,10.0625,1.5625,0.0,0.5
swaptions,2,312.52,100,0.5,9.9375,1.8125,0.0,0.5
swaptions,3,312.52,100,0.5,10.25,1.125,0.0,0.5
x264,0,312.72,100,0.5,9.0,1.125,0.0,0.5
x264,1,312.72,100,0.5,10.9375,1.875,0.0,0.5
x264,2,312.72,100,0.25,0.0,0.0,0.0,0.25
x264,3,312.72,100,0.25,0.0,0.0,0.0,0.25
hp5,0,319.11,100,0.5,11.625,1.375,0.0,0.5
hp5,1,319.11,100,0.5,9.5625,1.875,0.0,0.5
hp5,2,319.11,100,0.25,0.0,0.0,0.0,0.25
hp5,3,319.11,100,0.25,0.0,0.0,0.0,0.25
hp10,0,316.29,100,0.5,10.0625,1.625,0.0,0.5
hp10,1,316.29,100,0.5,11.1875,1.875,0.0,0.5
hp10,2,316.29,100,0.34375,0.9375,0.625,0.0,0.5
hp10,3,316.29,100,0.25,0.0,0.0,0.0,0.25
mat,0,317.48,100,0.5,10.4375,1.125,0.0,0.5
mat,1,317.48,100,0.5,10.125,1.75,0.0,0.5
mat,2,317.48,100,0.25,0.0,0.0,0.0,0.25
mat,3,317.48,100,0.25,0.0,0.0,0.0,0.25
tran,0,323.06,100,0.5,10.5,1.375,0.0,0.5
tran,1,323.06,100,0.5,10.75,1.625,0.0,0.5
tran,2,323.06,100,0.25,0.0,0.0,0.0,0.25
tran,3,323.06,100,0.25,0.0,0.0,0.0,0.25
unif,0,324.22,100,0.5,9.8125,1.8125,0.0,0.5
unif,1,324.22,100,0.5,9.75,1.8125,0.0,0.5
unif,2,324.22,100,0.25,0.0,0.0,0.0,0.25
unif,3,324.22,100,0.25,0.0,0.0,0.0,0.25
